"table_name"
"logged_model_metrics"
"tags"  --> data
"params"
"metrics"
"runs" -->data
"logged_model_params"
"alembic_version" --> data
"experiment_tags"
"latest_metrics"
"datasets"
"input_tags"
"trace_tags"
"trace_request_metadata"
"logged_models"
"logged_model_tags"
"inputs"
"trace_info"
"assessments"
"entity_associations"
"webhook_events"
"scorers"
"scorer_versions"
"evaluation_dataset_tags"
"evaluation_dataset_records"
"endpoint_tags"
"trace_metrics"
"jobs"
"endpoint_model_mappings"
"online_scoring_configs"
"endpoint_bindings"
"span_metrics"
"spans"
"experiments"
"registered_models"
"model_versions"
"registered_model_tags"
"model_version_tags"
"registered_model_aliases"
"evaluation_datasets"
"webhooks"
"secrets"
"endpoints"
"model_definitions"
"workspaces"
"budget_policies"
"issues"
